Device,Voc_mean,Voc_max,Jsc_mean,Jsc_max,FF_mean,FF_std,leakage_slope,J0
device001_1,1.098735,1.14045,10.393274049999999,19.918979,0.6884487499999999,0.03868464584965408,-0.005102204010798923,0.0037856955
device001_2,1.082345,1.11065,9.770149,18.563928,0.66765935,0.022543363180826233,-0.006519835402075697,0.0045704645
device001_3,1.0331975,1.11065,10.13437715,19.455737,0.735948,0.20863759581880884,-0.004887395493768929,0.0042077655
device001_4,1.0406425000000001,1.11065,10.03564035,19.258098,0.6823964,0.053345902518523274,-0.004234643140442931,0.0040029715
device001_5,0.92447,1.11065,10.2750389,20.005364,0.46745960000000003,0.29046934383572715,-7.885414620452146,-0.057738139499999994
device001_6,1.02873,1.14045,9.97778955,19.254026,0.63976345,0.13258559585910212,-0.004405301780538806,0.0035130079999999998
device001_7,1.0748975,1.11065,9.5384968,18.318952,0.6501988,0.01658850723781215,-0.006375296109217351,0.0048210875
device003_1,1.0614925000000002,1.11065,11.177108350000001,22.340416,0.71462355,0.04320435983418315,-0.009869206536923303,0.008340434
device003_2,1.0600025,1.11065,11.159203999999999,22.321939,0.7154602999999999,0.04156392145156156,-3.5729562648290116,-0.018496686999999998
device003_3,1.0600025,1.11065,11.1473239,22.293763,0.71454085,0.04278048260016046,-1.9147572256736307,-0.0100673185
device003_4,1.05851,1.11065,11.0407847,21.993537,0.70182705,0.048903486051044824,-0.009599325448723587,0.00823408
device003_5,1.0495725,1.11065,11.05575155,21.971202,0.68981725,0.049163926413661206,-0.00948210039889115,0.0082602725
device003_6,1.0212775,1.08085,11.0244451,21.942479,0.6175859499999999,0.06053609349842456,-0.00935484135915034,0.00826078
device003_7,0.8946825,1.08085,11.0444324,22.219643,0.9612937,1.044964425598161,-0.009345881273569657,0.0082695965
device003_8,1.036175,1.11065,11.0916387,22.201083,0.6500823,0.08037894120457431,-0.009344081155139771,0.008259877
device004_1,1.0540425,1.11065,10.949696450000001,22.250399,0.7200628,0.0393715583740344,-0.0032061145049727562,0.004337798
device004_2,1.051065,1.11065,10.9052843,22.232857,0.7246602,0.03941185934608754,-0.003101957821242047,0.004281838
device004_3,1.051065,1.11065,10.8844061,22.205783,0.7236456,0.04296984609969622,-0.003222360150361067,0.0043187645
device004_4,1.0495750000000001,1.11065,10.8697525,22.174313,0.72387495,0.04160022385500879,-0.003192780604297671,0.0042861855
device004_5,1.0495750000000001,1.11065,10.853643049999999,22.148074,0.7248546,0.04109064447420195,-0.001938442298356322,0.003500696
device004_6,1.0495750000000001,1.11065,10.84389085,22.117583,0.72387835,0.04039622729554281,-0.0031541175980922915,0.0033136930000000004
device004_7,1.048085,1.11065,10.83201425,22.076076,0.7257972500000001,0.04131682446129894,-0.0032420975036221494,0.002450908
device004_8,1.048085,1.11065,10.8223294,22.055435,0.7251839999999999,0.04155868160615908,-0.0046366769681876795,0.0027118715
